tree_row,Лес
tree_group,Лес
wood,Лес
Лес,Лес
scrub,кустарник
кустарник,кустарник
heath,Поле
grassland,Поле
"Луг, поле",Поле
natural_gully,Поле
Поле,Поле
canal,Канал
water,Вода
Вода,Вода
building,строения
строения,строения
landuse_forest,вырубка
вырубка,вырубка
wetland,заболоченный
заболоченный,заболоченный
landuse_farmland,сельскохозяйственные
сельхоз,сельскохозяйственные
сельскохозяйственные,сельскохозяйственные
территория фермы,сельскохозяйственные
Заболоченный луг,Заболоченный луг
river,Река
highway,Дорога
intermediate,Дорога
ridge,Хребет
power_line,Линия электропередачи
bridge,Мост
bay,Залив
railway,Железная дорога
